Applicant,PermitLocation,locationdesc,operation_time
Eva's Catering,1650 20TH AVE,10:00am-11:00am,"{'Saturday': ('10:00', '11:00')}"
Eva's Catering,1900 19TH AVE,Set-up at 1199 Ortega St: 8:00-9:30am,"{'Saturday': ('08:00', '10:00')}"
Eva's Catering,2045 EVANS AVE,10:30 AM TO 2:00 PM SUN,"{'Sunday': ('10:00', '14:00')}"
Eva's Catering,530 05TH ST,Set-up at 538 5th St: 4:00am-5:00am,"{'Wednesday': ('04:00', '05:00'), 'Tuesday': ('04:00', '05:00'), 'Thursday': ('04:00', '05:00'), 'Friday': ('04:00', '05:00'), 'Monday': ('04:00', '05:00')}"
Eva's Catering,630 BRANNAN ST,Set-up at 650 Brannan St: 5:00am-6:45am,"{'Thursday': ('05:00', '07:00'), 'Wednesday': ('05:00', '07:00'), 'Monday': ('05:00', '07:00'), 'Tuesday': ('05:00', '07:00'), 'Friday': ('05:00', '07:00')}"
"Expresso Subito, LLC.",150 CALIFORNIA ST,Truck located on the Front St frontage 53' North of the Front St /California St.,"{'Thursday': ('06:00', '17:00'), 'Wednesday': ('06:00', '17:00'), 'Tuesday': ('06:00', '17:00'), 'Friday': ('06:00', '17:00'), 'Monday': ('06:00', '17:00')}"
"Expresso Subito, LLC.",150 CALIFORNIA ST,Truck located on the Front St frontage 53ft North of the Front St /California St. intersection,"{'Thursday': ('06:00', '20:00'), 'Tuesday': ('06:00', '20:00')}"
F & C Catering,1000 EVANS AVE,"813 Evans Ave: 8:30am-9:18am, 11am-11:30am","{'Friday': ('11:00', '12:00'), 'Tuesday': ('11:00', '12:00'), 'Wednesday': ('08:00', '10:00'), 'Thursday': ('08:00', '10:00'), 'Monday': ('11:00', '12:00')}"
F & C Catering,1275 MINNESOTA ST,9:15am-9:20am,"{'Wednesday': ('09:00', '10:00'), 'Tuesday': ('09:00', '10:00'), 'Monday': ('09:00', '10:00'), 'Thursday': ('09:00', '10:00'), 'Friday': ('09:00', '10:00')}"
F & C Catering,1500 TENNESSEE ST,10:40am-10:45am,"{'Friday': ('10:00', '11:00'), 'Tuesday': ('10:00', '11:00'), 'Wednesday': ('10:00', '11:00'), 'Thursday': ('08:00', '10:00'), 'Monday': ('10:00', '11:00')}"
F & C Catering,1550 EVANS AVE,11:35am-11:40am,"{'Wednesday': ('11:00', '12:00'), 'Thursday': ('11:00', '12:00'), 'Tuesday': ('11:00', '12:00'), 'Friday': ('11:00', '12:00'), 'Monday': ('11:00', '12:00')}"
F & C Catering,2800 03RD ST,10:15am-10:20am,"{'Wednesday': ('10:00', '11:00'), 'Thursday': ('10:00', '11:00'), 'Tuesday': ('10:00', '11:00'), 'Monday': ('10:00', '11:00'), 'Friday': ('10:00', '11:00')}"
F & C Catering,2890 03RD ST,"6:30AM-8:15AM, 12:20PM-1PM","{'Wednesday': ('06:00', '09:00'), 'Thursday': ('12:00', '13:00'), 'Tuesday': ('12:00', '13:00'), 'Monday': ('12:00', '13:00'), 'Friday': ('06:00', '09:00')}"
F & C Catering,355 BRANNAN ST,9:50am-9:55am,"{'Wednesday': ('09:00', '10:00'), 'Tuesday': ('09:00', '10:00'), 'Monday': ('09:00', '10:00'), 'Thursday': ('09:00', '10:00'), 'Friday': ('09:00', '10:00')}"
F & C Catering,444 TOWNSEND ST,10:05am-10:10am,"{'Wednesday': ('10:00', '11:00'), 'Thursday': ('10:00', '11:00'), 'Tuesday': ('10:00', '11:00'), 'Monday': ('10:00', '11:00'), 'Friday': ('10:00', '11:00')}"
F & C Catering,700 25TH ST,Set-up at 750 25th St: 12:00pm-12:15pm,"{'Wednesday': ('12:00', '13:00'), 'Monday': ('12:00', '13:00'), 'Tuesday': ('12:00', '13:00'), 'Friday': ('12:00', '13:00'), 'Thursday': ('12:00', '13:00')}"
F & C Catering,898 PENNSYLVANIA AVE,10:15am-10:20am,"{'Monday': ('10:00', '11:00'), 'Thursday': ('10:00', '11:00'), 'Tuesday': ('10:00', '11:00'), 'Wednesday': ('10:00', '11:00')}"
F & C Catering,900 07TH ST,9:30am-9:40am,"{'Wednesday': ('09:00', '10:00'), 'Tuesday': ('09:00', '10:00'), 'Monday': ('09:00', '10:00'), 'Thursday': ('09:00', '10:00'), 'Friday': ('09:00', '10:00')}"
F & C Catering,900 MINNESOTA ST,10:30am-10:35am,"{'Wednesday': ('10:00', '11:00'), 'Thursday': ('10:00', '11:00'), 'Tuesday': ('10:00', '11:00'), 'Monday': ('10:00', '11:00'), 'Friday': ('10:00', '11:00')}"
Faith Sandwich,560 MISSION ST,Push cart located on the sidewalk 222 linear feet NE of the Mission St and Anthony St intersection.,"{'Thursday': ('08:00', '15:00'), 'Friday': ('08:00', '15:00'), 'Tuesday': ('08:00', '15:00'), 'Wednesday': ('08:00', '15:00'), 'Monday': ('08:00', '15:00')}"
Fresh Made Cafe,901 MISSION ST,Push cart located on Mission St approximately 130 feet southwest of the Mission St and 5th St intersection.,"{'Wednesday': ('06:00', '17:00'), 'Friday': ('06:00', '17:00'), 'Monday': ('06:00', '17:00')}"
Fruteria Serrano,4650 MISSION ST,Trailor located roughly 80 ft. from intersection of Mission St. & Ocean Ave.,"{'Monday': ('11:00', '18:00'), 'Friday': ('11:00', '18:00'), 'Thursday': ('11:00', '18:00')}"
Giant Burrito,1500 GENEVA AVE,Truck located on Geneva approximately 80LF East from the intersection of Prague & Geneva.,"{'Sunday': ('07:00', '18:00')}"
Giant Burrito,353 BAY SHORE BLVD,Located on Bayshore Blvd between the two existing entry/exit curb cuts,"{'Wednesday': ('07:00', '18:00'), 'Friday': ('07:00', '18:00'), 'Thursday': ('07:00', '18:00'), 'Monday': ('07:00', '18:00'), 'Saturday': ('07:00', '18:00'), 'Tuesday': ('07:00', '18:00')}"
Golden Catering,101 EXECUTIVE PARK BLVD,10:00am-10:05am,"{'Sunday': ('10:00', '11:00'), 'Wednesday': ('10:00', '11:00'), 'Thursday': ('10:00', '11:00'), 'Tuesday': ('10:00', '11:00'), 'Monday': ('10:00', '11:00'), 'Saturday': ('10:00', '11:00'), 'Friday': ('10:00', '11:00')}"
Golden Catering,2401 BAY SHORE BLVD,10:45am-11:00am,"{'Thursday': ('10:00', '11:00'), 'Friday': ('10:00', '11:00'), 'Tuesday': ('10:00', '11:00'), 'Monday': ('10:00', '11:00'), 'Wednesday': ('10:00', '11:00')}"
Golden Catering,301 EXECUTIVE PARK BLVD,10:10am-10:25am,"{'Sunday': ('10:00', '11:00'), 'Thursday': ('10:00', '11:00'), 'Friday': ('10:00', '11:00'), 'Tuesday': ('10:00', '11:00'), 'Monday': ('10:00', '11:00'), 'Saturday': ('10:00', '11:00'), 'Wednesday': ('10:00', '11:00')}"
Golden Catering,601 CRESCENT AVE,11:25am-11:30am,"{'Wednesday': ('11:00', '12:00'), 'Thursday': ('11:00', '12:00'), 'Tuesday': ('11:00', '12:00'), 'Friday': ('11:00', '12:00'), 'Saturday': ('11:00', '12:00'), 'Monday': ('11:00', '12:00')}"
Golden Catering,835 JAMESTOWN AVE,10:30am-10:40am,"{'Sunday': ('10:00', '11:00'), 'Wednesday': ('10:00', '11:00'), 'Thursday': ('10:00', '11:00'), 'Tuesday': ('10:00', '11:00'), 'Monday': ('10:00', '11:00'), 'Saturday': ('10:00', '11:00'), 'Friday': ('10:00', '11:00')}"
Golden Gate Halal Food,1 DRUMM ST,Push Cart located 35' west of the California & Drumm St intersection,"{'Monday': ('08:00', '20:00'), 'Friday': ('08:00', '20:00'), 'Wednesday': ('08:00', '20:00')}"
Golden Gate Halal Food,1169 MARKET ST,Pushcart located 6' NE of the BART escalator.  This location may only be renewed until March 2020 or until the fronting project is completed.,"{'Saturday': ('08:00', '20:00'), 'Friday': ('08:00', '20:00'), 'Wednesday': ('08:00', '20:00')}"
Golden Gate Halal Food,979 MARKET ST,Push Cart located 80' north of the 6th and Market St intersection,"{'Thursday': ('08:00', '20:00'), 'Monday': ('08:00', '20:00'), 'Tuesday': ('08:00', '20:00')}"
Got Snacks,1020 03RD ST,West side of 3rd St 10am-8:30pm,"{'Friday': ('10:00', '21:00'), 'Sunday': ('10:00', '21:00'), 'Thursday': ('10:00', '21:00'), 'Wednesday': ('10:00', '21:00'), 'Tuesday': ('10:00', '21:00'), 'Saturday': ('10:00', '21:00'), 'Monday': ('10:00', '21:00')}"
Halal Cart of San Francisco,1 MARKET ST,Approximately 75 feet north of Spear Street fronting Bank of America and 12 feet from curb.,"{'Wednesday': ('10:00', '16:00'), 'Monday': ('10:00', '16:00')}"
Halal Cart of San Francisco,400 MONTGOMERY ST,"Located on California Street frontage of 400 Montgomery Street, 4 feet from the curb and 5 feet west of sub-sidewalk basement doors.","{'Thursday': ('10:00', '16:00'), 'Tuesday': ('10:00', '16:00')}"
"Halal Cart, LLC",1 MARKET ST,Push-cart located on Market Street sidewalk approximately 27 feet East of Spear Street intersection,"{'Thursday': ('09:00', '15:00'), 'Tuesday': ('09:00', '15:00'), 'Friday': ('09:00', '15:00')}"
"Halal Cart, LLC",400 MONTGOMERY ST,Pushcart located on the California St sidewalk 27LF East of Mongomery St.,"{'Monday': ('10:00', '15:00'), 'Friday': ('10:00', '15:00'), 'Wednesday': ('10:00', '15:00')}"
"Halal Cart, LLC",455 MARKET ST,Pushcart located on the South side of Market St. 125 west of Fremont St. (between bike rack and MUNI support pole),"{'Wednesday': ('10:00', '20:00'), 'Tuesday': ('10:00', '20:00'), 'Monday': ('10:00', '20:00'), 'Sunday': ('10:00', '20:00'), 'Thursday': ('10:00', '20:00'), 'Friday': ('10:00', '20:00'), 'Saturday': ('10:00', '20:00')}"
"Halal Cart, LLC",901 MARKET ST,Pushcart located on the Market St sidewalk frontage approximately 5LF East of the Western property line.,"{'Wednesday': ('10:00', '20:00'), 'Sunday': ('10:00', '20:00'), 'Tuesday': ('10:00', '20:00'), 'Monday': ('10:00', '20:00'), 'Thursday': ('10:00', '20:00'), 'Saturday': ('10:00', '20:00'), 'Friday': ('21:00', '23:59')}"
Hiyaaa,111 BATTERY ST,Truck located on the west side of Battery St 5 LF north of Pine,"{'Tuesday': ('09:00', '15:00'), 'Friday': ('09:00', '15:00')}"
Hiyaaa,200 LARKIN ST,Truck Located on the west side of Larkin Street 25 LF north of Fulton Street,"{'Thursday': ('09:00', '15:00'), 'Wednesday': ('09:00', '15:00')}"
JapaCurry,217 SANSOME ST,Set-up at 205-215 Sansome St,"{'Friday': ('11:00', '14:00'), 'Monday': ('11:00', '14:00'), 'Tuesday': ('11:00', '14:00')}"
JapaCurry,400 HOWARD ST,Set-up at 420 Howard St,"{'Thursday': ('11:00', '14:00'), 'Tuesday': ('11:00', '14:00'), 'Wednesday': ('11:00', '14:00')}"
JapaCurry,602 MISSION ST,Set-up at 620 Mission St: 10:30am-2:00pm,"{'Wednesday': ('10:00', '14:00'), 'Thursday': ('10:00', '14:00')}"
John's Catering #5,1003 TURK ST,"Set-up at 1011 Turk St: 8:15am-8:40am, 11:30am-11:40am","{'Wednesday': ('11:00', '12:00'), 'Friday': ('11:00', '12:00'), 'Thursday': ('08:00', '09:00'), 'Monday': ('11:00', '12:00'), 'Tuesday': ('11:00', '12:00')}"
John's Catering #5,1601 MARKET ST,Set-up at 10 12th St: 10:45am-10:55am,"{'Wednesday': ('10:00', '11:00'), 'Thursday': ('10:00', '11:00'), 'Tuesday': ('10:00', '11:00'), 'Monday': ('10:00', '11:00'), 'Friday': ('10:00', '11:00')}"
John's Catering #5,164 14TH ST,10:20am-10:25am,"{'Wednesday': ('10:00', '11:00'), 'Thursday': ('10:00', '11:00'), 'Tuesday': ('10:00', '11:00'), 'Monday': ('10:00', '11:00'), 'Friday': ('10:00', '11:00')}"
John's Catering #5,180 REDWOOD ST,9:55am-10:05am: Set-up at 120 Redwood St,"{'Wednesday': ('09:00', '10:00'), 'Tuesday': ('09:00', '10:00'), 'Monday': ('09:00', '10:00'), 'Thursday': ('09:00', '10:00'), 'Friday': ('09:00', '10:00')}"
John's Catering #5,1830 HARRISON ST,2:30pm-2:45pm,"{'Monday': ('14:00', '15:00'), 'Thursday': ('14:00', '15:00'), 'Tuesday': ('14:00', '15:00'), 'Friday': ('14:00', '15:00'), 'Wednesday': ('14:00', '15:00')}"
John's Catering #5,1900 03RD ST,9:30am-9:40am,"{'Wednesday': ('09:00', '10:00'), 'Tuesday': ('09:00', '10:00'), 'Monday': ('09:00', '10:00'), 'Thursday': ('09:00', '10:00'), 'Friday': ('09:00', '10:00')}"
John's Catering #5,2010 HARRISON ST,9:45am-9:50am: Set-up at 2000 Harrison St,"{'Wednesday': ('09:00', '10:00'), 'Tuesday': ('09:00', '10:00'), 'Monday': ('09:00', '10:00'), 'Thursday': ('09:00', '10:00'), 'Friday': ('09:00', '10:00')}"
John's Catering #5,2157 BRYANT ST,12pm-12:05pm,"{'Wednesday': ('12:00', '13:00'), 'Monday': ('12:00', '13:00'), 'Tuesday': ('12:00', '13:00'), 'Friday': ('12:00', '13:00'), 'Thursday': ('12:00', '13:00')}"
John's Catering #5,2200 HAYES ST,11:50am-1:30pm,"{'Tuesday': ('11:00', '14:00'), 'Monday': ('11:00', '14:00'), 'Friday': ('11:00', '14:00'), 'Wednesday': ('11:00', '14:00'), 'Thursday': ('11:00', '14:00')}"
John's Catering #5,2500 MARIPOSA ST,8:45am-8:55am,"{'Wednesday': ('08:00', '09:00'), 'Friday': ('08:00', '09:00'), 'Monday': ('08:00', '09:00'), 'Tuesday': ('08:00', '09:00'), 'Thursday': ('08:00', '09:00')}"
John's Catering #5,251 11TH ST,"Set-up at 253 11th St: 10:25am-10:30am, 3pm-3:05pm. 1480 Folsom 3pm-3:05pm","{'Friday': ('10:00', '11:00'), 'Wednesday': ('15:00', '16:00'), 'Thursday': ('15:00', '16:00'), 'Monday': ('10:00', '11:00'), 'Tuesday': ('10:00', '11:00')}"
John's Catering #5,270 MASONIC AVE,11:45am-12pm,"{'Wednesday': ('11:00', '12:00'), 'Thursday': ('11:00', '12:00'), 'Tuesday': ('11:00', '12:00'), 'Friday': ('11:00', '12:00'), 'Monday': ('11:00', '12:00')}"
John's Catering #5,300 HOWARD ST,"6am-6:15am, 12:30pm-12:40pm","{'Thursday': ('12:00', '13:00'), 'Wednesday': ('06:00', '07:00'), 'Monday': ('06:00', '07:00'), 'Friday': ('12:00', '13:00'), 'Tuesday': ('06:00', '07:00')}"
John's Catering #5,400 HOWARD ST,"Set-up at 15 Natoma St: 6:45am-7am, 10:10am-10:15am, 12:10pm-12:15pm","{'Thursday': ('12:00', '13:00'), 'Wednesday': ('06:00', '07:00'), 'Monday': ('10:00', '11:00'), 'Friday': ('10:00', '11:00'), 'Tuesday': ('10:00', '11:00')}"
John's Catering #5,401 HARRISON ST,5:30am-5:45am,"{'Monday': ('05:00', '06:00'), 'Thursday': ('05:00', '06:00'), 'Wednesday': ('05:00', '06:00'), 'Friday': ('05:00', '06:00'), 'Tuesday': ('05:00', '06:00')}"
John's Catering #5,50 IVY ST,50 Ivy St: 11:10am-11:25am,"{'Wednesday': ('11:00', '12:00'), 'Thursday': ('11:00', '12:00'), 'Tuesday': ('11:00', '12:00'), 'Friday': ('11:00', '12:00'), 'Monday': ('11:00', '12:00')}"
John's Catering #5,555 CALIFORNIA ST,7:30am-8am: Set-up at 400 Pine St,"{'Wednesday': ('07:00', '08:00'), 'Thursday': ('07:00', '08:00'), 'Friday': ('07:00', '08:00'), 'Monday': ('07:00', '08:00'), 'Tuesday': ('07:00', '08:00')}"
John's Catering #5,560 MISSION ST,6:20am-6:40am,"{'Thursday': ('06:00', '07:00'), 'Friday': ('06:00', '07:00'), 'Monday': ('06:00', '07:00'), 'Wednesday': ('06:00', '07:00'), 'Tuesday': ('06:00', '07:00')}"
John's Catering #5,610 BRANNAN ST,9am-9:10am,"{'Wednesday': ('09:00', '10:00'), 'Tuesday': ('09:00', '10:00'), 'Monday': ('09:00', '10:00'), 'Thursday': ('09:00', '10:00'), 'Friday': ('09:00', '10:00')}"
Julie's Hot Dogs,1850 MISSION ST,Truck and trailer occupying two space in front of 1850 Mission Street,"{'Sunday': ('07:00', '17:00'), 'Friday': ('07:00', '17:00'), 'Saturday': ('07:00', '17:00')}"
Julie's Hot Dogs,2101 MISSION ST,Truck and trailer.....,"{'Wednesday': ('10:00', '20:00'), 'Thursday': ('10:00', '20:00'), 'Tuesday': ('10:00', '20:00')}"
Julie's Hot Dogs,2386 MISSION ST,Truck & Trailer located at 2386 Mission Street located in the first two spaces.,"{'Tuesday': ('12:00', '23:59'), 'Wednesday': ('12:00', '23:59'), 'Thursday': ('00:00', '03:00'), 'Monday': ('12:00', '23:59')}"
Julie's Hot Dogs,2445 MISSION ST,Truck & hitched trailer occupying two parking spaces located at 2445 Mission St.,"{'Sunday': ('00:00', '03:00'), 'Thursday': ('22:00', '23:59'), 'Saturday': ('00:00', '03:00'), 'Friday': ('22:00', '23:59')}"
"Kabob Trolley, LLC",1133 MISSION ST,Truck located in the two parking spaces in front of 1133 Mission St,"{'Monday': ('09:00', '16:00'), 'Friday': ('09:00', '16:00'), 'Tuesday': ('09:00', '16:00')}"
"Kabob Trolley, LLC",298 KING ST,"Push cart located on the 4th Street Side approximately 40LF NW of the fire hydrant at the King/4th St intersection, closer to the third tree.  Not to block the pathway of the exit door of the building.","{'Wednesday': ('10:00', '20:00'), 'Tuesday': ('10:00', '20:00'), 'Sunday': ('10:00', '20:00'), 'Monday': ('10:00', '20:00'), 'Thursday': ('10:00', '20:00'), 'Friday': ('10:00', '20:00'), 'Saturday': ('10:00', '20:00')}"
Kettle Corn Star,773 MARKET ST,Pushcart located on Market St. 7 linear feet West of the Fire Hydrant. Must maintain 8 linear feet clearance from Street Artist Booth M22. Reference Street Artist Map #14 (http://www.sfartscommission.org/street_artists_program/maps/index.html),"{'Sunday': ('10:00', '18:00'), 'Friday': ('10:00', '18:00'), 'Thursday': ('10:00', '18:00'), 'Tuesday': ('10:00', '18:00'), 'Saturday': ('10:00', '18:00'), 'Monday': ('10:00', '18:00'), 'Wednesday': ('10:00', '18:00')}"
Kettle Corn Star,865 MARKET ST,34 LF east from the Westfield entrance way near the curb,"{'Sunday': ('10:00', '18:00'), 'Friday': ('10:00', '18:00'), 'Thursday': ('10:00', '18:00'), 'Tuesday': ('10:00', '18:00'), 'Saturday': ('10:00', '18:00'), 'Monday': ('10:00', '18:00'), 'Wednesday': ('10:00', '18:00')}"
La Jefa,531 BAY SHORE BLVD,Truck located on the East side of Bay Shore Blvd between Waterloo & Marengo.,"{'Thursday': ('07:00', '20:00'), 'Monday': ('07:00', '20:00'), 'Wednesday': ('07:00', '20:00'), 'Saturday': ('07:00', '20:00'), 'Tuesday': ('07:00', '20:00'), 'Sunday': ('07:00', '20:00'), 'Friday': ('07:00', '20:00')}"
Leo's Hot Dogs,2301 MISSION ST,Set-up at 2305 Mission St,"{'Friday': ('18:00', '23:59'), 'Sunday': ('18:00', '23:59'), 'Wednesday': ('18:00', '23:59'), 'Thursday': ('18:00', '23:59'), 'Saturday': ('18:00', '23:59'), 'Tuesday': ('18:00', '23:59'), 'Monday': ('18:00', '23:59')}"
Let's Be Frank,404 OCTAVIA ST,Cart located on Linden St approximately 20 linear feet east of the Linden St and Octavia St intersection.,"{'Friday': ('11:00', '17:00')}"
Let's Be Frank,425 HAYES ST,100 LF west from the NW corner of Linden and Gough Streets,"{'Wednesday': ('11:00', '17:00'), 'Sunday': ('11:00', '17:00')}"
Liang Bai Ping,1031 QUESADA AVE,Set-up at 1029 Quesada: 11:40am-11:45am,"{'Wednesday': ('11:00', '12:00'), 'Thursday': ('11:00', '12:00'), 'Tuesday': ('11:00', '12:00'), 'Friday': ('11:00', '12:00'), 'Monday': ('11:00', '12:00')}"
Liang Bai Ping,1127 SHAFTER AVE,Set-up At 1125 Shafter Ave: 8:10am-8:20am,"{'Wednesday': ('08:00', '09:00'), 'Friday': ('08:00', '09:00'), 'Monday': ('08:00', '09:00'), 'Tuesday': ('08:00', '09:00'), 'Thursday': ('08:00', '09:00')}"
Liang Bai Ping,1135 REVERE AVE,11:20am-11:40am,"{'Wednesday': ('11:00', '12:00'), 'Thursday': ('11:00', '12:00'), 'Tuesday': ('11:00', '12:00'), 'Friday': ('11:00', '12:00'), 'Monday': ('11:00', '12:00')}"
Liang Bai Ping,1145 REVERE AVE,7:50am-8:00am,"{'Wednesday': ('07:00', '08:00'), 'Thursday': ('07:00', '08:00'), 'Friday': ('07:00', '08:00'), 'Monday': ('07:00', '08:00'), 'Tuesday': ('07:00', '08:00')}"
Liang Bai Ping,1153 SHAFTER AVE,Set-up at 1579 Hawes St: 11:00am-11:10am,"{'Wednesday': ('11:00', '12:00'), 'Thursday': ('11:00', '12:00'), 'Tuesday': ('11:00', '12:00'), 'Friday': ('11:00', '12:00'), 'Monday': ('11:00', '12:00')}"
Liang Bai Ping,1160 REVERE AVE,11:10am-11:20am,"{'Wednesday': ('11:00', '12:00'), 'Thursday': ('11:00', '12:00'), 'Tuesday': ('11:00', '12:00'), 'Friday': ('11:00', '12:00'), 'Monday': ('11:00', '12:00')}"
Liang Bai Ping,1180 THOMAS AVE,8:35am-8:40am,"{'Wednesday': ('08:00', '09:00'), 'Friday': ('08:00', '09:00'), 'Monday': ('08:00', '09:00'), 'Tuesday': ('08:00', '09:00'), 'Thursday': ('08:00', '09:00')}"
Liang Bai Ping,1212 THOMAS AVE,"9:25am-9:30am, 12:35pm-12:40pm","{'Wednesday': ('09:00', '10:00'), 'Monday': ('09:00', '10:00'), 'Tuesday': ('12:00', '13:00'), 'Friday': ('09:00', '10:00'), 'Thursday': ('09:00', '10:00')}"
Liang Bai Ping,1265 THOMAS AVE,11:05am-11:10am,"{'Wednesday': ('11:00', '12:00'), 'Thursday': ('11:00', '12:00'), 'Tuesday': ('11:00', '12:00'), 'Friday': ('11:00', '12:00'), 'Monday': ('11:00', '12:00')}"
Liang Bai Ping,1300 GRIFFITH ST,Set-up at 1308 Griffith St: 6:30am-7:00am,"{'Thursday': ('06:00', '07:00'), 'Friday': ('06:00', '07:00'), 'Monday': ('06:00', '07:00'), 'Wednesday': ('06:00', '07:00'), 'Tuesday': ('06:00', '07:00')}"
Liang Bai Ping,1335 YOSEMITE AVE,"1335 YOSEMITE AVE - 7:45am-7:50am, 10:40am-10:45am","{'Wednesday': ('10:00', '11:00'), 'Thursday': ('10:00', '11:00'), 'Friday': ('10:00', '11:00'), 'Tuesday': ('07:00', '08:00'), 'Monday': ('07:00', '08:00')}"
Liang Bai Ping,1337 VAN DYKE AVE,9:25am-9:35am,"{'Wednesday': ('09:00', '10:00'), 'Tuesday': ('09:00', '10:00'), 'Monday': ('09:00', '10:00'), 'Thursday': ('09:00', '10:00'), 'Friday': ('09:00', '10:00')}"
Liang Bai Ping,1351 UNDERWOOD AVE,9:05am-9:15am,"{'Wednesday': ('09:00', '10:00'), 'Tuesday': ('09:00', '10:00'), 'Monday': ('09:00', '10:00'), 'Thursday': ('09:00', '10:00'), 'Friday': ('09:00', '10:00')}"
Liang Bai Ping,1370 VAN DYKE AVE,"8:00am-8:10am, 12:20pm-12:25pm","{'Wednesday': ('08:00', '09:00'), 'Monday': ('08:00', '09:00'), 'Tuesday': ('08:00', '09:00'), 'Friday': ('12:00', '13:00'), 'Thursday': ('12:00', '13:00')}"
Liang Bai Ping,1377 FELL ST,1:05pm-3:00pm,"{'Tuesday': ('13:00', '15:00'), 'Friday': ('13:00', '15:00'), 'Monday': ('13:00', '15:00'), 'Thursday': ('13:00', '15:00'), 'Wednesday': ('13:00', '15:00')}"
Liang Bai Ping,1389 UNDERWOOD AVE,8:10am-8:15am,"{'Wednesday': ('08:00', '09:00'), 'Friday': ('08:00', '09:00'), 'Monday': ('08:00', '09:00'), 'Tuesday': ('08:00', '09:00'), 'Thursday': ('08:00', '09:00')}"
Liang Bai Ping,1420 YOSEMITE AVE,Set-up at 1418 Yosemite: 7:40am-7:45am,"{'Wednesday': ('07:00', '08:00'), 'Thursday': ('07:00', '08:00'), 'Friday': ('07:00', '08:00'), 'Monday': ('07:00', '08:00'), 'Tuesday': ('07:00', '08:00')}"
Liang Bai Ping,1430 YOSEMITE AVE,Set-up at 1428 Yosemite Ave: 12:15pm-12:20pm,"{'Wednesday': ('12:00', '13:00'), 'Monday': ('12:00', '13:00'), 'Tuesday': ('12:00', '13:00'), 'Friday': ('12:00', '13:00'), 'Thursday': ('12:00', '13:00')}"
Liang Bai Ping,1440 BANCROFT AVE,"Set-up at 1414 Bancroft Ave: 9:45am-9:50am, 12:10-12:15pm","{'Wednesday': ('09:00', '10:00'), 'Monday': ('09:00', '10:00'), 'Tuesday': ('12:00', '13:00'), 'Friday': ('09:00', '10:00'), 'Thursday': ('09:00', '10:00')}"
Liang Bai Ping,1450 DONNER AVE,9:40am-9:45am,"{'Wednesday': ('09:00', '10:00'), 'Tuesday': ('09:00', '10:00'), 'Monday': ('09:00', '10:00'), 'Thursday': ('09:00', '10:00'), 'Friday': ('09:00', '10:00')}"
Liang Bai Ping,1450 WALLACE AVE,10:15am-10:20am,"{'Wednesday': ('10:00', '11:00'), 'Thursday': ('10:00', '11:00'), 'Tuesday': ('10:00', '11:00'), 'Monday': ('10:00', '11:00'), 'Friday': ('10:00', '11:00')}"
Liang Bai Ping,1460 BANCROFT AVE,9:50am-10:00am,"{'Wednesday': ('09:00', '10:00'), 'Tuesday': ('09:00', '10:00'), 'Monday': ('09:00', '10:00'), 'Thursday': ('09:00', '10:00'), 'Friday': ('09:00', '10:00')}"
Liang Bai Ping,1475 CARROLL AVE,Set-up at 1480 Donner : 7:25am-7:35am,"{'Wednesday': ('07:00', '08:00'), 'Thursday': ('07:00', '08:00'), 'Friday': ('07:00', '08:00'), 'Monday': ('07:00', '08:00'), 'Tuesday': ('07:00', '08:00')}"
Liang Bai Ping,1500 WALLACE AVE,10:10am-10:15am,"{'Thursday': ('10:00', '11:00'), 'Friday': ('10:00', '11:00'), 'Tuesday': ('10:00', '11:00'), 'Monday': ('10:00', '11:00'), 'Wednesday': ('10:00', '11:00')}"
Liang Bai Ping,1515 GRIFFITH ST,8:45am-9:00am,"{'Wednesday': ('08:00', '09:00'), 'Friday': ('08:00', '09:00'), 'Monday': ('08:00', '09:00'), 'Tuesday': ('08:00', '09:00'), 'Thursday': ('08:00', '09:00')}"
Liang Bai Ping,1555 BANCROFT AVE,8:55am-9:00am,"{'Wednesday': ('08:00', '09:00'), 'Friday': ('08:00', '09:00'), 'Monday': ('08:00', '09:00'), 'Tuesday': ('08:00', '09:00'), 'Thursday': ('08:00', '09:00')}"
Liang Bai Ping,201 FOLSOM ST,Set-up at 390 Main St: 7am-7:15am,"{'Wednesday': ('07:00', '08:00'), 'Thursday': ('07:00', '08:00'), 'Friday': ('07:00', '08:00'), 'Monday': ('07:00', '08:00'), 'Tuesday': ('07:00', '08:00')}"
Liang Bai Ping,2115 JENNINGS ST,Set-up at 2135 Jennings St: 10:45am-10:50am,"{'Wednesday': ('10:00', '11:00'), 'Thursday': ('10:00', '11:00'), 'Tuesday': ('10:00', '11:00'), 'Monday': ('10:00', '11:00'), 'Friday': ('10:00', '11:00')}"
Liang Bai Ping,2200 OFARRELL ST,12:15pm-1:00pm,"{'Wednesday': ('12:00', '13:00'), 'Monday': ('12:00', '13:00'), 'Tuesday': ('12:00', '13:00'), 'Friday': ('12:00', '13:00'), 'Thursday': ('12:00', '13:00')}"
Liang Bai Ping,300 BEALE ST,6am-7am,"{'Thursday': ('06:00', '07:00'), 'Friday': ('06:00', '07:00'), 'Monday': ('06:00', '07:00'), 'Wednesday': ('06:00', '07:00'), 'Tuesday': ('06:00', '07:00')}"
